tweet,sentiment
"आजचा दिवस खूप छान आहे!",positive
"माझा मित्र खूप आनंदी आहे!",positive
"सिनेमा खूप मजेशीर होता.",positive
"काम सुरळीत सुरु झाले.",positive
"पुढील आठवड्यात सुट्टी आहे.",positive
"माझ्या अभ्यासात प्रगती झाली.",positive
"आज मी फार उत्साही आहे!",positive
"माझा मित्र खूप मदत करतो.",positive
"आज मला नवीन गोष्टी शिकायला मिळाल्या.",positive
"पिकनिक खूप मजेशीर होती.",positive
"माझ्या कुटुंबासोबत दिवस छान गेला.",positive
"मी आज खूप समाधानी आहे.",positive
"माझे आवडते गाणे ऐकायला मिळाले.",positive
"आजचे हवामान खूप छान आहे.",positive
"माझा मित्र आनंदाने भरला आहे.",positive
"सगळ्या कामात यश मिळाले.",positive
"माझे नवीन छायाचित्र खूप छान आहे.",positive
"माझ्या मित्राची मदत खूप उपयुक्त ठरली.",positive
"आजचा दिवस खूप आनंददायी आहे.",positive
"मी आज खूप सकारात्मक आहे.",positive
"माझा दिवस थोडा वाईट गेला.",negative
"माझा मित्र आज रागात होता.",negative
"आज माझे काम नीट झाले नाही.",negative
"मी खूप थकलेलो आहे.",negative
"आजचे खाणे वाईट होते.",negative
"माझा मित्र आज उदास आहे.",negative
"माझा दिवस खराब गेला.",negative
"परीक्षेत चुक झाली.",negative
"मी खूप निराश आहे.",negative
"आज मी फार ताणात आहे.",negative
"माझ्या मित्राने खूप त्रास दिला.",negative
"कामात अडचण आली.",negative
"आज मी थोडा रागात आहे.",negative
"सिनेमा वाईट होता.",negative
"माझे आवडते पुस्तक संपले.",negative
"आजची हवामान वाईट आहे.",negative
"माझा मित्र खूप रागात आहे.",negative
"आज मी फार उदास आहे.",negative
"माझा दिवस वाईट गेला.",negative
"पुढील आठवड्यात परीक्षा आहे.",neutral
"आज माझे वेळापत्रक व्यस्त आहे.",neutral
"माझा मित्र सध्या कामात आहे.",neutral
"आज मी ऑफिसमध्ये होतो.",neutral
"माझ्या घरात शांतता आहे.",neutral
"आज सकाळी मी व्यायाम केला.",neutral
"सगळे मित्र घरी आहेत.",neutral
"आज मी पुस्तक वाचत आहे.",neutral
"सुट्टीचा दिवस आहे.",neutral
"आज मी खूप व्यस्त आहे.",neutral
"आज मी शाळेत गेलो.",neutral
"आजचे दिवस अगदी सामान्य आहे.",neutral
"माझ्या मित्रांची भेट झाली.",neutral
"आज मी फक्त आराम केला.",neutral
"सकाळी चहा प्यायला वेळ मिळाला.",neutral
"आज मी थोडासा गप्पा मारला.",neutral
"माझ्या शाळेत काहीही नवीन नाही.",neutral
"आज मी काहीतरी नवीन शिकले.",neutral
"आजचे दिवस साधारण आहे.",neutral
"आज माझे घर साफ केले.",neutral
"माझा मित्र खूप व्यस्त आहे.",neutral
"आज मी फक्त आरामात आहे.",neutral
"आज माझ्या कुटुंबासोबत काही वेळ घालवला.",neutral
"आज सकाळी मी चालायला गेलो.",neutral
"आज मी खूप थोडे काम केले.",neutral
"आज काहीतरी सामान्य घडले.",neutral
"आज मी गाणी ऐकत होतो.",neutral
"आज मी फक्त विश्रांती घेतली.",neutral
"आज माझा मित्र खूप शांत आहे.",neutral
"आज सकाळी मी जागे झालो.",neutral
"आज मी काहीतरी नवीन पाहिले.",neutral
"आज माझा दिवस काहीसा साधा आहे.",neutral
"आज मी खूप सामान्य अनुभव घेतला.",neutral
"आज माझ्या मित्रासोबत खूप वेळ नाही घालवला.",neutral
"आज मी फक्त पुस्तक वाचलो.",neutral
"आज मी काहीतरी सामान्य केलं.",neutral
"आज माझा दिवस काहीसा सामान्य आहे.",neutral
"आज माझ्या मित्राने मला काही सांगितले.",neutral
"आज मी खूप सामान्य दिवस घालवला.",neutral
"आज मी काहीतरी साधे केलं.",neutral
"आज सकाळी मी चालायला गेलो.",neutral
"आज माझा मित्र खूप साधा आहे.",neutral
"आज मी काहीतरी नवीन शिकले.",neutral
"आज माझा दिवस खूप सामान्य आहे.",neutral
"आज माझे आवडते कार्यक्रम पाहिले.",neutral
"आज मी काहीतरी साधे पाहिले.",neutral
"आज मी खूप सामान्य आहे.",neutral
"आज मी फक्त आराम केला.",neutral
"आज माझा मित्र काहीसा साधा आहे.",neutral
"आज मी फक्त पुस्तके वाचत होतो.",neutral
"आज मी फक्त सामान्य अनुभव घेतला.",neutral
"आज मी काहीतरी साधे अनुभवले.",neutral
"आज मी फक्त साधा दिवस घालवला.",neutral
"आज माझा दिवस साधारण आहे.",neutral
"आज मी काहीतरी साधे केले.",neutral
"आज मी काहीतरी नवीन अनुभवले.",neutral
"आज माझा दिवस काहीसा साधा आहे.",neutral
"आज मी काहीतरी सामान्य पाहिले.",neutral
"आज माझा मित्र खूप सामान्य आहे.",neutral
